datetime,open,high,low,close,volume,return
20061107,138.2,138.98,138.0,138.42,1499632,0.003043478260869481
20061108,138.0,139.05,137.79,138.94,1943437,0.0037566825603236875
20061109,139.01,139.14,137.9,138.15,2065895,-0.0056859075860082875
20061110,138.14,138.35,137.72,138.3,1070842,0.0010857763300760048
20061113,138.18,139.04,137.64,138.62,1289025,0.0023138105567606093
20061114,138.97,139.74,138.12,139.61,1972955,0.007141826576251731
20061115,139.57,140.45,139.53,139.9,1636747,0.0020772150992047766
20061116,140.44,141.58,139.49,140.22,1492540,0.0022873481057898992
20061117,139.92,140.5,139.73,140.44,1234187,0.0015689630580515423
20061120,140.3,140.74,140.09,140.4,1425585,-0.0002848191398461264
20061121,140.49,140.7,140.29,140.67,1154072,0.0019230769230766942
20061122,140.75,149.86,140.0,140.83,955970,0.0011374138053601435
20061124,140.24,140.84,140.2,140.39,582417,-0.0031243343037706817
20061127,140.29,140.35,137.19,138.44,1987005,-0.01388987819645271
20061128,138.24,139.16,137.67,139.11,2212242,0.004839641722045762
20061129,139.47,140.53,139.42,140.36,1913045,0.008985694773919972
20061130,140.44,141.05,139.76,140.47,1958537,0.0007836990595611049
20061201,140.53,140.66,138.97,140.35,2745102,-0.0008542749341496902
20061204,140.25,141.55,140.23,141.31,2013757,0.006840042750267283
20061205,141.57,141.98,141.26,141.9,1620695,0.00417521760668027
20061206,141.87,144.71,141.5,141.66,1205765,-0.0016913319238901492
20061207,142.03,142.3,141.09,141.15,1477082,-0.003600169419737287
20061208,141.13,141.9,140.78,141.42,1587420,0.001912858660998884
20061211,141.42,142.09,141.34,141.8,913497,0.0026870315372651277
20061212,141.68,141.87,140.64,141.6,1704942,-0.0014104372355431272
20061213,142.23,142.33,141.56,141.86,1214527,0.0018361581920904868
20061214,141.87,143.24,141.84,143.13,1506255,0.008952488368814127
20061215,142.64,142.89,142.2,142.34,1379677,-0.005519457835534092
20061218,142.54,142.88,141.75,141.95,1045950,-0.0027399185049881147
20061219,141.53,142.56,141.16,142.22,1441857,0.0019020781965481959
20061220,142.29,142.66,142.01,142.24,939947,0.00014062719730012496
20061221,142.27,142.43,141.32,141.68,1131307,-0.003937007874015741
20061222,141.64,141.65,140.65,140.68,1384887,-0.007058159232072314
20061226,140.82,141.66,140.78,141.6,636875,0.0065396644867783404
20061227,141.87,142.6,141.83,142.45,898200,0.006002824858756917
20061228,142.41,142.7,140.27,142.17,831337,-0.0019656019656020263
20061229,142.1,142.54,141.41,141.6,1087317,-0.004009284659210799
20070103,142.25,142.86,140.57,141.39,1972835,-0.0014830508474577009
20070104,141.23,142.05,140.61,141.7,1584790,0.002192517151142326
20070105,141.33,144.78,140.38,140.47,1642040,-0.008680310515172818
20070108,140.82,141.41,140.2,141.31,1598312,0.005979924539047499
20070109,141.31,141.6,140.4,141.02,1529940,-0.002052225603283553
20070110,140.58,141.7,140.3,141.61,1524132,0.004183803715785084
20070111,141.56,142.62,141.5,142.23,1300092,0.004378221876985888
20070112,142.12,143.35,142.11,143.27,1299377,0.007312100119524878
20070116,143.07,143.44,142.73,142.83,1032210,-0.003071124450338525
20070117,142.87,143.46,142.73,142.9,1151335,0.0004900931176923251
20070118,143.17,143.26,142.31,142.41,1501525,-0.0034289713086075313
20070119,142.54,143.1,142.46,142.95,1306905,0.0037918685485569537
20070122,143.07,145.95,141.93,142.39,1435160,-0.003917453655124192
20070123,142.25,143.08,142.06,142.93,1257352,0.003792401151766489
20070124,142.97,144.26,142.91,143.99,1326562,0.007416217728958285
20070125,143.84,143.92,134.4,142.31,1603030,-0.011667476908118646
20070126,142.59,142.75,141.58,142.22,1713722,-0.0006324221769377081
20070129,142.19,142.8,141.74,142.02,1474925,-0.0014062719729994733
20070130,142.35,142.87,142.06,142.77,1334325,0.00528094634558518
20070131,142.63,144.13,142.4,143.79,2091085,0.007144358058415401
20070201,144.15,144.66,143.91,144.53,1577845,0.005146394046873892
20070202,144.74,144.95,144.38,144.78,1106895,0.0017297446896837876
20070205,144.7,144.94,144.34,144.82,1094025,0.0002762812543168902
20070206,144.97,145.03,144.33,144.97,1297887,0.0010357685402568872
20070207,145.12,145.36,143.9,145.11,1298795,0.0009657170449060004
20070208,144.78,145.12,144.27,144.97,1604277,-0.0009647853352630076
20070209,145.06,146.11,143.39,143.9,1866315,-0.0073808374146374645
20070212,143.94,144.04,143.19,143.5,1432602,-0.002779708130646319
20070213,143.77,144.9,143.76,144.65,1498592,0.0080139372822301
20070214,144.8,145.9,144.48,145.6,1540695,0.006567576909782158
20070215,145.67,145.95,145.43,145.55,912672,-0.00034340659340648116
20070216,145.43,145.81,145.23,145.73,815797,0.0012366884232222208
20070220,145.56,146.2,144.06,145.99,1307440,0.001784121320249854
20070221,145.61,146.07,145.35,145.95,1473745,-0.0002739913692719753
20070222,146.05,146.42,145.17,145.8,1756315,-0.0010277492291879131
20070223,145.73,145.79,144.75,145.35,1739995,-0.0030864197530865445
20070226,145.83,145.95,144.75,145.2,1631912,-0.0010319917440660964
20070227,143.89,144.2,139.0,139.63,5651522,-0.038360881542699676
20070228,140.39,141.98,139.8,140.8,3936252,0.008379288118599337
20070301,139.36,141.25,138.05,140.61,4338012,-0.0013494318181818121
20070302,140.05,140.66,138.6,138.94,3543745,-0.011876822416613475
20070305,137.92,140.0,137.08,137.91,3254050,-0.007413271915934994
20070306,138.78,140.12,137.72,139.84,3064655,0.013994634181712762
20070307,139.74,140.46,139.28,139.47,2578100,-0.002645881006865025
20070308,140.55,141.16,140.0,140.73,2489857,0.009034200903420109
20070309,141.33,141.42,140.08,140.61,2249805,-0.0008526966531654523
20070312,140.42,141.34,140.12,140.91,1794362,0.0021335609131638567
20070313,140.24,140.77,138.04,138.11,3955897,-0.01987083954297053
20070314,138.43,139.59,136.5,139.51,5361185,0.010136847440445962
20070315,139.04,139.99,138.8,139.25,2866332,-0.0018636656870474333
20070316,139.31,141.0,137.95,138.21,2481875,-0.007468581687612108
20070319,139.26,140.33,138.89,140.23,1974635,0.014615440272049751
20070320,140.08,141.07,139.96,140.9,1922835,0.00477786493617649
20070321,141.1,143.65,140.82,143.07,3679330,0.015400993612491032
20070322,143.47,143.68,142.79,143.17,2651790,0.0006989585517578334
20070323,143.29,143.81,143.15,143.45,1744730,0.001955716979814115
20070326,143.5,143.65,142.09,143.23,2613442,-0.001533635413035861
20070327,143.13,143.9,141.86,142.42,2352577,-0.005655239824059244
20070328,142.23,142.47,141.26,141.83,3516327,-0.004142676590366379
20070329,142.54,142.98,141.19,142.19,3242872,0.002538250017626531
20070330,142.17,142.84,140.56,142.0,2850405,-0.001336240241929798
20070402,142.16,1441.65,140.89,142.28,1928195,0.001971830985915579
20070403,142.97,143.98,142.91,143.74,1879817,0.010261456283384929
20070404,143.69,143.95,141.48,143.78,1464985,0.0002782802281897645
20070405,143.67,144.44,143.61,144.31,1151500,0.003686187230490967
20070409,144.59,144.8,144.15,144.42,1203552,0.0007622479384656877
20070410,144.33,144.85,144.27,144.6,1329230,0.0012463647694225255
20070411,144.82,144.86,143.54,143.95,2575765,-0.004495159059474396
20070412,143.75,144.92,142.66,144.72,2756330,0.005349079541507429
20070413,144.9,145.32,144.27,145.24,1921052,0.0035931453841901995
20070416,145.86,146.86,145.54,146.65,1866395,0.009708069402368569
20070417,146.96,147.4,146.65,146.82,2452005,0.001159222638936086
20070418,146.6,147.7,146.57,147.1,2101202,0.0019070971257322267
20070419,146.54,147.4,145.82,147.29,2434352,0.001291638341264445
20070420,148.22,148.62,147.69,148.59,2522315,0.008826125330979817
20070423,148.37,148.73,140.56,148.19,1764647,-0.0026919711959082493
20070424,148.23,148.4,147.32,148.27,2704932,0.0005398474930833341
20070425,148.73,149.66,148.16,149.56,2512937,0.008700343967086965
20070426,149.49,149.8,149.1,149.48,2101120,-0.0005349023803157271
20070427,149.03,149.97,148.84,149.65,2249420,0.0011372758897512103
20070430,149.63,149.82,140.93,148.31,2399260,-0.0089542265285667
20070501,148.52,149.94,147.67,148.74,3150865,0.0028993324792665476
20070502,148.9,149.95,148.75,149.57,2066815,0.005580207072744203
20070503,149.95,150.4,149.05,150.28,1926902,0.0047469412315304105
20070504,150.75,151.56,150.22,150.94,2183122,0.004391801969656717
20070507,150.88,151.2,150.81,150.93,1517750,-6.625149065853098e-05
20070508,150.57,150.92,150.13,150.65,1922227,-0.0018551646458623283
20070509,150.64,152.82,150.37,151.12,2421500,0.00311981413873208
20070510,150.73,151.02,149.27,149.56,3664215,-0.010322922181048133
20070511,149.75,150.98,149.72,150.91,2641157,0.009026477667825494
20070514,150.86,151.3,149.79,150.37,2625065,-0.0035782916970379386
20070515,150.7,151.66,150.19,150.45,4102537,0.0005320210148300752
20070516,150.8,151.67,150.38,151.43,2705355,0.006513791957461157
20070517,151.38,151.96,151.11,151.37,2448657,-0.00039622267714456427
20070518,151.94,152.65,151.21,152.58,2238232,0.00799365792429163
20070521,152.58,157.69,152.44,152.63,1702285,0.00032769694586431974
20070522,152.71,153.16,152.37,152.42,1952035,-0.0013758763021687326
20070523,152.95,153.5,152.01,152.41,2969830,-6.560818790180001e-05
20070524,152.53,153.21,150.74,151.17,4390160,-0.008135949084705829
20070525,151.49,1511.7,151.18,151.8,1948772,0.004167493550307766
20070529,151.94,152.5,151.45,152.14,2051955,0.0022397891963108485
20070530,151.46,153.54,151.34,153.51,3156602,0.009004863941106889
20070531,153.66,153.89,150.5,153.44,2462630,-0.0004559963520290866
20070601,153.88,154.4,153.51,153.88,2290047,0.0028675703858185297
20070604,153.53,154.39,153.48,154.08,1841755,0.0012997140629062987
20070605,153.72,153.9,143.46,153.5,2910535,-0.0037642782969886657
20070606,152.91,161.9,151.75,152.05,3853157,-0.009446254071661109
20070607,151.55,152.5,149.0,149.22,5549947,-0.01861229858599156
20070608,149.42,151.21,149.09,151.1,4090222,0.012598847339498676
20070611,150.96,151.95,150.7,151.33,2357510,0.0015221707478492164
20070612,150.67,151.54,149.35,149.35,5274767,-0.013083988634110977
20070613,150.43,152.07,150.19,151.88,3628715,0.01694007365249406
20070614,152.06,153.12,152.03,152.79,3144812,0.005991572293916336
20070615,153.25,153.66,152.06,152.97,3081932,0.0011780875711762118
20070618,153.36,153.39,152.6,152.67,1957237,-0.001961168856638662
20070619,152.64,153.38,152.36,153.07,2527730,0.0026200301303465068
20070620,153.59,153.79,150.96,151.2,4189550,-0.01221663291304631
20070621,151.08,152.11,150.25,151.85,4692105,0.004298941798941858
20070622,151.5,151.77,149.85,150.7,4917220,-0.007573263088574311
20070625,150.24,151.25,149.02,150.0,5490180,-0.004644990046449804
20070626,150.21,150.46,148.28,148.35,4675815,-0.01100000000000001
20070627,148.24,150.57,148.06,150.47,4746740,0.01429052915402762
20070628,150.37,151.42,149.67,150.39,3729850,-0.0005316674420150491
20070629,150.83,151.65,113.35,150.32,4663635,-0.0004654564798191041
20070703,152.17,152.5,151.99,152.24,1273502,0.012772751463544507
20070705,152.43,152.56,151.63,152.34,1915695,0.0006568575932737186
20070706,152.38,153.17,151.93,152.92,1724645,0.003807273204673667
20070709,153.15,154.2,152.62,153.06,1737762,0.0009155113784986568
20070710,152.27,152.9,150.75,150.9,4160367,-0.014112112896903173
20070711,150.73,152.35,150.52,152.24,3916272,0.008880053015241973
20070712,152.36,154.75,152.34,154.44,3195367,0.014450867052023142
20070713,154.57,155.46,154.39,154.91,2517450,0.003043253043253147
20070716,154.99,155.53,154.58,154.85,2343157,-0.000387321670647478
20070718,154.32,154.9,153.3,154.6,5592600,-0.0016144656118824985
20070719,155.2,155.53,154.64,154.8,3432040,0.001293661060802087
20070720,154.87,154.99,152.25,153.47,5818755,-0.008591731266149982
20070723,154.29,154.72,50.11,153.87,2831487,0.0026063725809604144
20070724,153.11,154.28,150.76,151.29,5826687,-0.016767401052836917
20070725,152.03,152.39,150.25,151.99,6254580,0.004626875537048214
20070726,150.16,151.76,47.5,148.08,10733142,-0.025725376669517686
20070727,148.26,148.87,144.95,145.3,9150872,-0.01877363587250136
20070730,145.89,147.81,145.29,147.3,6362667,0.013764624913971124
20070731,148.33,149.46,144.96,145.0,7129230,-0.01561439239646989
20070801,145.21,147.01,143.95,146.73,10762450,0.011931034482758562
20070802,146.77,147.96,145.26,147.58,6786810,0.005792953043004312
20070803,147.26,147.58,143.2,143.6,8345412,-0.02696842390567844
20070806,144.22,149.1,142.53,146.3,7603160,0.018802228412256428
20070807,145.94,149.0,143.71,147.85,6628042,0.010594668489405157
20070808,148.41,150.59,147.34,149.93,6552352,0.014068312478863865
20070809,147.45,154.53,144.59,144.59,8364872,-0.03561662108984198
20070810,144.24,146.5,37.55,145.05,9222975,0.0031814095027318245
20070813,146.5,146.89,144.88,144.93,4137782,-0.0008273009307135926
20070814,145.69,146.06,142.72,142.9,6242412,-0.014006761885048014
20070815,142.7,144.46,140.62,140.88,7667480,-0.01413575927221844
20070816,139.79,142.99,137.0,142.43,12862970,0.011002271436683753
20070817,145.56,154.54,141.39,144.8,7693917,0.01663975286105468
20070820,145.13,145.47,143.11,144.51,4442575,-0.002002762430939331
20070821,144.59,145.97,144.14,144.9,3436392,0.002698775171268597
20070822,146.01,147.88,144.97,147.77,4079377,0.019806763285024287
20070823,147.33,147.9,145.61,146.32,4642657,-0.009812546525005184
20070824,146.49,148.42,145.4,148.39,2961755,0.014147074904319323
20070827,147.87,148.33,146.73,146.79,2495515,-0.010782397735696447
20070828,146.16,146.96,143.46,143.59,5229587,-0.021799850126030362
20070829,144.39,146.78,143.96,146.57,4770192,0.020753534368688653
20070830,145.45,147.19,145.31,146.28,4363387,-0.0019785767892473993
20070831,147.67,148.5,146.83,147.57,4060045,0.008818703855619336
20070904,147.47,149.98,147.4,148.86,2848915,0.00874161414921737
20070905,148.18,149.45,147.0,147.63,3789182,-0.008262797259169785
20070906,147.95,148.61,147.12,148.05,2904427,0.002844950213371389
20070907,146.48,146.89,145.26,146.25,4827827,-0.012158054711246313
20070910,146.51,147.77,144.33,145.68,4210822,-0.0038974358974358525
20070911,146.23,147.7,146.13,147.36,3689942,0.011532125205930832
20070912,147.28,148.44,146.98,147.73,3481050,0.0025108577633006224
20070913,148.55,149.45,148.2,148.27,3189460,0.0036553171326070277
20070914,147.95,149.09,147.74,148.93,2697390,0.004451338773858504
20070917,148.29,148.89,147.63,148.03,2559112,-0.006043107500167899
20070918,148.83,152.61,148.13,152.52,5864445,0.03033168952239418
20070919,153.41,154.39,148.1,153.05,4390880,0.0034749541043797016
20070920,153.35,153.43,152.11,152.34,3469430,-0.004639006860503114
20070921,152.7,153.12,151.74,152.05,2540480,-0.0019036366023368334
20070924,152.43,152.82,151.23,151.29,3286342,-0.004998355804011978
20070925,150.83,151.7,150.47,151.65,3022782,0.002379535990481907
20070926,152.26,152.77,151.39,152.38,3019687,0.0048137157929442065
20070927,152.88,153.31,152.19,152.96,2326087,0.0038062737892112786
20070928,152.85,153.19,151.98,152.65,2950150,-0.002026673640167398
20071001,152.61,154.75,152.5,154.27,3409795,0.010612512283000308
20071002,154.62,154.65,153.81,154.18,2684105,-0.0005833927529655947
20071003,153.82,154.41,153.01,153.96,2669147,-0.0014269036191464357
20071004,154.1,154.26,153.59,153.96,1748542,0.0
20071005,155.02,156.1,154.63,156.0,2731765,0.013250194855806585
20071008,155.39,155.49,154.77,155.23,1670172,-0.004935897435897507
20071009,155.6,156.51,155.03,156.25,2251542,0.006570894801262606
20071010,156.04,156.44,155.41,156.25,2428365,0.0
20071011,156.92,157.52,154.54,155.28,5383547,-0.006207999999999991
20071012,155.46,156.6,155.15,156.43,2713282,0.007405976300875805
20071015,156.27,156.36,153.94,154.86,3825332,-0.010036438023397043
20071016,154.41,156.48,153.47,154.35,3877332,-0.0032932971716390647
20071017,154.98,155.09,152.47,154.15,4724537,-0.0012957563977971098
20071018,153.45,154.19,153.08,153.88,3101590,-0.0017515407071034828
20071019,153.1,156.48,149.27,149.4,6878187,-0.029113595009097937
20071022,148.83,151.06,148.66,150.97,5889810,0.010508701472556892
20071023,151.3,151.95,149.98,151.3,4163677,0.002185864741339527
